Gene_ID,Ensembl_ID,Gene_Name,Gene_Biotype,Gene_Length
ENSG00000237294_EIF4BP9,ENSG00000237294,EIF4BP9,processed_pseudogene,1513
ENSG00000089472_HEPH,ENSG00000089472,HEPH,protein_coding,106319
ENSG00000231356_AL157698.1,ENSG00000231356,AL157698.1,processed_pseudogene,1011
ENSG00000226820_AL592049.1,ENSG00000226820,AL592049.1,unprocessed_pseudogene,3324
ENSG00000235892_PKMP2,ENSG00000235892,PKMP2,processed_pseudogene,1677
ENSG00000131080_EDA2R,ENSG00000131080,EDA2R,protein_coding,43662
ENSG00000222667_RNU6-394P,ENSG00000222667,RNU6-394P,snRNA,107
ENSG00000226280_AL049641.1,ENSG00000226280,AL049641.1,processed_pseudogene,1948
ENSG00000233710_AL049564.1,ENSG00000233710,AL049564.1,processed_pseudogene,825
ENSG00000169083_AR,ENSG00000169083,AR,protein_coding,186588
ENSG00000234201_BMI1P1,ENSG00000234201,BMI1P1,processed_pseudogene,941
ENSG00000260118_AL157700.1,ENSG00000260118,AL157700.1,lincRNA,1432
ENSG00000079482_OPHN1,ENSG00000079482,OPHN1,protein_coding,391570
ENSG00000228328_AL158201.1,ENSG00000228328,AL158201.1,processed_pseudogene,1248
ENSG00000252145_RNU6-1225P,ENSG00000252145,RNU6-1225P,snRNA,65
ENSG00000228125_AKIRIN1P2,ENSG00000228125,AKIRIN1P2,processed_pseudogene,570
ENSG00000206646_RF00019,ENSG00000206646,RF00019,misc_RNA,113
ENSG00000225925_AL672138.1,ENSG00000225925,AL672138.1,processed_pseudogene,2165
ENSG00000181704_YIPF6,ENSG00000181704,YIPF6,protein_coding,38963
ENSG00000206747_RNU6-245P,ENSG00000206747,RNU6-245P,snRNA,107
ENSG00000236735_RPL31P63,ENSG00000236735,RPL31P63,processed_pseudogene,375
ENSG00000234463_COX6CP12,ENSG00000234463,COX6CP12,processed_pseudogene,202
ENSG00000130052_STARD8,ENSG00000130052,STARD8,protein_coding,78177
ENSG00000232267_ACTR3P2,ENSG00000232267,ACTR3P2,processed_pseudogene,1257
ENSG00000213740_SERBP1P1,ENSG00000213740,SERBP1P1,processed_pseudogene,1595
ENSG00000090776_EFNB1,ENSG00000090776,EFNB1,protein_coding,13151
ENSG00000181191_PJA1,ENSG00000181191,PJA1,protein_coding,4943
ENSG00000172186_HMGN1P35,ENSG00000172186,HMGN1P35,processed_pseudogene,594
ENSG00000215162_LINC00269,ENSG00000215162,LINC00269,lincRNA,30368
ENSG00000231706_CYCSP43,ENSG00000231706,CYCSP43,processed_pseudogene,310
ENSG00000130054_FAM155B,ENSG00000130054,FAM155B,protein_coding,27268
ENSG00000228160_AL158069.1,ENSG00000228160,AL158069.1,lincRNA,689
ENSG00000158813_EDA,ENSG00000158813,EDA,protein_coding,423403
ENSG00000272351_RNA5SP506,ENSG00000272351,RNA5SP506,rRNA,119
ENSG00000285776_AL158069.2,ENSG00000285776,AL158069.2,rRNA_pseudogene,119
ENSG00000212434_RF00012,ENSG00000212434,RF00012,snoRNA,200
ENSG00000233229_CNOT7P1,ENSG00000233229,CNOT7P1,processed_pseudogene,852
ENSG00000211991_MIR676,ENSG00000211991,MIR676,miRNA,67
ENSG00000147160_AWAT2,ENSG00000147160,AWAT2,protein_coding,9397
ENSG00000189401_OTUD6A,ENSG00000189401,OTUD6A,protein_coding,1689
ENSG00000226579_MTCYBP31,ENSG00000226579,MTCYBP31,processed_pseudogene,1122
ENSG00000235382_MTND4P31,ENSG00000235382,MTND4P31,processed_pseudogene,4100
ENSG00000089289_IGBP1,ENSG00000089289,IGBP1,protein_coding,32876
ENSG00000220925_IGBP1-AS2,ENSG00000220925,IGBP1-AS2,antisense,1073
ENSG00000203588_IGBP1-AS1,ENSG00000203588,IGBP1-AS1,antisense,1365
ENSG00000184210_DGAT2L6,ENSG00000184210,DGAT2L6,protein_coding,28063
ENSG00000242657_RN7SL581P,ENSG00000242657,RN7SL581P,misc_RNA,309
ENSG00000204195_AWAT1,ENSG00000204195,AWAT1,protein_coding,5973
ENSG00000200473_RNA5SP507,ENSG00000200473,RNA5SP507,rRNA_pseudogene,121
ENSG00000186912_P2RY4,ENSG00000186912,P2RY4,protein_coding,1595
ENSG00000120500_ARR3,ENSG00000120500,ARR3,protein_coding,13536
ENSG00000147127_RAB41,ENSG00000147127,RAB41,protein_coding,2910
ENSG00000120509_PDZD11,ENSG00000120509,PDZD11,protein_coding,3920
ENSG00000090889_KIF4A,ENSG00000090889,KIF4A,protein_coding,130743
ENSG00000231053_AL357752.1,ENSG00000231053,AL357752.1,processed_pseudogene,889
ENSG00000201377_RNY4P23,ENSG00000201377,RNY4P23,misc_RNA,97
ENSG00000130055_GDPD2,ENSG00000130055,GDPD2,protein_coding,10360
ENSG00000284391_AL139398.1,ENSG00000284391,AL139398.1,antisense,7901
ENSG00000082458_DLG3,ENSG00000082458,DLG3,protein_coding,60630
ENSG00000200431_RNU4-81P,ENSG00000200431,RNU4-81P,snRNA,144
ENSG00000231651_DLG3-AS1,ENSG00000231651,DLG3-AS1,antisense,3037
ENSG00000120498_TEX11,ENSG00000120498,TEX11,protein_coding,379792
ENSG00000230187_AL139109.1,ENSG00000230187,AL139109.1,processed_pseudogene,621
ENSG00000277492_SNORD3E,ENSG00000277492,SNORD3E,snoRNA,217
ENSG00000280704_SNORD3E,ENSG00000280704,SNORD3E,snoRNA,216
ENSG00000213747_AL627390.1,ENSG00000213747,AL627390.1,processed_pseudogene,340
ENSG00000165349_SLC7A3,ENSG00000165349,SLC7A3,protein_coding,5544
ENSG00000230629_RPS23P8,ENSG00000230629,RPS23P8,processed_pseudogene,330
ENSG00000229324_NUTF2P7,ENSG00000229324,NUTF2P7,processed_pseudogene,375
ENSG00000212605_RNU1-56P,ENSG00000212605,RNU1-56P,snRNA,164
ENSG00000227536_SOCS5P4,ENSG00000227536,SOCS5P4,processed_pseudogene,2257
ENSG00000147164_SNX12,ENSG00000147164,SNX12,protein_coding,17095
ENSG00000184481_FOXO4,ENSG00000184481,FOXO4,protein_coding,7339
ENSG00000204165_CXorf65,ENSG00000204165,CXorf65,protein_coding,2900
ENSG00000285171_AL590764.2,ENSG00000285171,AL590764.2,protein_coding,7589
ENSG00000147168_IL2RG,ENSG00000147168,IL2RG,protein_coding,4705
ENSG00000184634_MED12,ENSG00000184634,MED12,protein_coding,23899
ENSG00000196338_NLGN3,ENSG00000196338,NLGN3,protein_coding,26371
ENSG00000228427_AL590764.1,ENSG00000228427,AL590764.1,antisense,14617
ENSG00000169562_GJB1,ENSG00000169562,GJB1,protein_coding,10323
ENSG00000147130_ZMYM3,ENSG00000147130,ZMYM3,protein_coding,15523
ENSG00000147140_NONO,ENSG00000147140,NONO,protein_coding,17977
ENSG00000147166_ITGB1BP2,ENSG00000147166,ITGB1BP2,protein_coding,3638
ENSG00000224208_AL590762.3,ENSG00000224208,AL590762.3,processed_pseudogene,968
ENSG00000213706_AL590762.2,ENSG00000213706,AL590762.2,processed_pseudogene,571
ENSG00000147133_TAF1,ENSG00000147133,TAF1,protein_coding,166136
ENSG00000275975_RF00017,ENSG00000275975,RF00017,misc_RNA,303
ENSG00000229601_AL590762.4,ENSG00000229601,AL590762.4,processed_pseudogene,253
ENSG00000213018_AL590762.1,ENSG00000213018,AL590762.1,processed_pseudogene,432
ENSG00000199751_RF00019,ENSG00000199751,RF00019,misc_RNA,102
ENSG00000243468_INGX,ENSG00000243468,INGX,transcribed_processed_pseudogene,1247
ENSG00000215120_AL590763.1,ENSG00000215120,AL590763.1,processed_pseudogene,2412
ENSG00000147162_OGT,ENSG00000147162,OGT,protein_coding,42815
ENSG00000147174_GCNA,ENSG00000147174,GCNA,protein_coding,35173
ENSG00000186810_CXCR3,ENSG00000186810,CXCR3,protein_coding,2602
ENSG00000237265_BX276092.7,ENSG00000237265,BX276092.7,transcribed_unprocessed_pseudogene,3770
ENSG00000283599_BX276092.9,ENSG00000283599,BX276092.9,protein_coding,3983
ENSG00000230934_BX276092.4,ENSG00000230934,BX276092.4,processed_pseudogene,248
ENSG00000281852_LINC00891,ENSG00000281852,LINC00891,lincRNA,9260
ENSG00000215115_CXorf49,ENSG00000215115,CXorf49,protein_coding,3781
ENSG00000226870_BX276092.2,ENSG00000226870,BX276092.2,transcribed_unprocessed_pseudogene,2137
ENSG00000237182_BX276092.6,ENSG00000237182,BX276092.6,processed_pseudogene,250
ENSG00000237717_BX276092.8,ENSG00000237717,BX276092.8,processed_pseudogene,250
ENSG00000234442_BX276092.5,ENSG00000234442,BX276092.5,transcribed_unprocessed_pseudogene,2312
ENSG00000215113_CXorf49B,ENSG00000215113,CXorf49B,protein_coding,3781
ENSG00000224617_BX276092.1,ENSG00000224617,BX276092.1,processed_pseudogene,251
ENSG00000229030_BX276092.3,ENSG00000229030,BX276092.3,processed_pseudogene,230
ENSG00000283178_BX119927.1,ENSG00000283178,BX119927.1,unprocessed_pseudogene,3533
ENSG00000204131_NHSL2,ENSG00000204131,NHSL2,protein_coding,250933
ENSG00000201392_RNU6-1078P,ENSG00000201392,RNU6-1078P,snRNA,103
ENSG00000196933_RPS26P11,ENSG00000196933,RPS26P11,processed_pseudogene,348
ENSG00000242732_RTL5,ENSG00000242732,RTL5,protein_coding,4792
ENSG00000225471_BX119917.1,ENSG00000225471,BX119917.1,transcribed_processed_pseudogene,502
ENSG00000102309_PIN4,ENSG00000102309,PIN4,protein_coding,121574
ENSG00000239577_RN7SL388P,ENSG00000239577,RN7SL388P,misc_RNA,339
ENSG00000186871_ERCC6L,ENSG00000186871,ERCC6L,protein_coding,34391
ENSG00000198034_RPS4X,ENSG00000198034,RPS4X,protein_coding,21622
ENSG00000238926_RF00019,ENSG00000238926,RF00019,misc_RNA,101
ENSG00000125931_CITED1,ENSG00000125931,CITED1,protein_coding,5550
ENSG00000285547_AL133500.1,ENSG00000285547,AL133500.1,protein_coding,271153
ENSG00000147099_HDAC8,ENSG00000147099,HDAC8,protein_coding,243684
ENSG00000222810_RNU2-68P,ENSG00000222810,RNU2-68P,snRNA,191
ENSG00000067177_PHKA1,ENSG00000067177,PHKA1,protein_coding,135506
ENSG00000225858_BX295541.1,ENSG00000225858,BX295541.1,processed_pseudogene,250
ENSG00000231944_PHKA1-AS1,ENSG00000231944,PHKA1-AS1,antisense,23399
ENSG00000273788_RF00012,ENSG00000273788,RF00012,snoRNA,216
ENSG00000213698_AC240504.1,ENSG00000213698,AC240504.1,processed_pseudogene,845
ENSG00000201271_RNU1-112P,ENSG00000201271,RNU1-112P,snRNA,164
ENSG00000184911_DMRTC1B,ENSG00000184911,DMRTC1B,protein_coding,71794
ENSG00000269911_FAM226B,ENSG00000269911,FAM226B,sense_intronic,1490
ENSG00000268994_FAM236B,ENSG00000268994,FAM236B,protein_coding,796
ENSG00000225396_FAM236D,ENSG00000225396,FAM236D,protein_coding,786
ENSG00000269502_DMRTC1,ENSG00000269502,DMRTC1,protein_coding,71790
ENSG00000283594_FAM236C,ENSG00000283594,FAM236C,protein_coding,787
ENSG00000275520_FAM236A,ENSG00000275520,FAM236A,protein_coding,796
ENSG00000226725_PABPC1L2B-AS1,ENSG00000226725,PABPC1L2B-AS1,antisense,4469
ENSG00000184388_PABPC1L2B,ENSG00000184388,PABPC1L2B,protein_coding,2197
ENSG00000186288_PABPC1L2A,ENSG00000186288,PABPC1L2A,protein_coding,2237
ENSG00000231963_AL662864.1,ENSG00000231963,AL662864.1,antisense,4469
ENSG00000204118_NAP1L6,ENSG00000204118,NAP1L6,transcribed_processed_pseudogene,2044
ENSG00000186462_NAP1L2,ENSG00000186462,NAP1L2,protein_coding,2550
ENSG00000230311_TOMM20P4,ENSG00000230311,TOMM20P4,processed_pseudogene,435
ENSG00000237014_AC004074.1,ENSG00000237014,AC004074.1,processed_pseudogene,1063
ENSG00000225664_YWHAZP8,ENSG00000225664,YWHAZP8,processed_pseudogene,731
ENSG00000207486_RNU6-1044P,ENSG00000207486,RNU6-1044P,snRNA,107
ENSG00000131264_CDX4,ENSG00000131264,CDX4,protein_coding,7992
ENSG00000233162_MORF4L1P6,ENSG00000233162,MORF4L1P6,processed_pseudogene,268
ENSG00000269904_MAP2K4P1,ENSG00000269904,MAP2K4P1,transcribed_processed_pseudogene,38811
ENSG00000237475_RPL7P53,ENSG00000237475,RPL7P53,processed_pseudogene,739
ENSG00000204116_CHIC1,ENSG00000204116,CHIC1,protein_coding,123903
ENSG00000230146_SEPHS1P4,ENSG00000230146,SEPHS1P4,processed_pseudogene,1176
ENSG00000270641_TSIX,ENSG00000270641,TSIX,lincRNA,37027
ENSG00000229807_XIST,ENSG00000229807,XIST,lincRNA,32073
ENSG00000274655_RF02266,ENSG00000274655,RF02266,misc_RNA,68
ENSG00000277577_RF01881,ENSG00000277577,RF01881,misc_RNA,126
ENSG00000278039_RF01880,ENSG00000278039,RF01880,misc_RNA,85
ENSG00000182707_FXYD6P3,ENSG00000182707,FXYD6P3,processed_pseudogene,568
ENSG00000225470_JPX,ENSG00000225470,JPX,lincRNA,126225
ENSG00000274430_RF02124,ENSG00000274430,RF02124,misc_RNA,135
ENSG00000276784_RF02125,ENSG00000276784,RF02125,misc_RNA,69
ENSG00000230590_FTX,ENSG00000230590,FTX,lincRNA,347020
ENSG00000228906_AL353804.1,ENSG00000228906,AL353804.1,lincRNA,586
ENSG00000271199_AL353804.2,ENSG00000271199,AL353804.2,sense_overlapping,11427
ENSG00000233984_RPSAP14,ENSG00000233984,RPSAP14,processed_pseudogene,359
ENSG00000203397_AL139400.1,ENSG00000203397,AL139400.1,processed_pseudogene,510
ENSG00000234969_AL627389.1,ENSG00000234969,AL627389.1,processed_pseudogene,1557
ENSG00000223650_UHRF2P1,ENSG00000223650,UHRF2P1,processed_pseudogene,2387
ENSG00000232928_DDX3P1,ENSG00000232928,DDX3P1,processed_pseudogene,10912
ENSG00000280375_AL359740.1,ENSG00000280375,AL359740.1,TEC,592
ENSG00000230986_DDX3P2,ENSG00000230986,DDX3P2,processed_pseudogene,111
ENSG00000224430_MKRN5P,ENSG00000224430,MKRN5P,processed_pseudogene,1467
ENSG00000231549_ATP5MDP1,ENSG00000231549,ATP5MDP1,processed_pseudogene,177
ENSG00000204113_BMP2KL,ENSG00000204113,BMP2KL,processed_pseudogene,1225
ENSG00000228492_RAB11FIP1P1,ENSG00000228492,RAB11FIP1P1,processed_pseudogene,1762
ENSG00000271533_Z83843.1,ENSG00000271533,Z83843.1,sense_intronic,3685
ENSG00000202566_MIR421,ENSG00000202566,MIR421,miRNA,85
ENSG00000212027_MIR374B,ENSG00000212027,MIR374B,miRNA,72
ENSG00000283534_MIR374C,ENSG00000283534,MIR374C,miRNA,70
ENSG00000265727_RN7SL648P,ENSG00000265727,RN7SL648P,misc_RNA,301
ENSG00000278421_RF02119,ENSG00000278421,RF02119,misc_RNA,71
ENSG00000273974_RF02120,ENSG00000273974,RF02120,misc_RNA,94
ENSG00000275254_RF02121,ENSG00000275254,RF02121,misc_RNA,147
ENSG00000275625_RF02123,ENSG00000275625,RF02123,misc_RNA,147
ENSG00000207820_MIR545,ENSG00000207820,MIR545,miRNA,106
ENSG00000199168_MIR374A,ENSG00000199168,MIR374A,miRNA,72
ENSG00000277922_RF02122,ENSG00000277922,RF02122,misc_RNA,218
ENSG00000187969_ZCCHC13,ENSG00000187969,ZCCHC13,protein_coding,842
ENSG00000226515_AC004386.2,ENSG00000226515,AC004386.2,processed_pseudogene,148
ENSG00000213269_AC004386.1,ENSG00000213269,AC004386.1,processed_pseudogene,761
ENSG00000239745_RN7SL790P,ENSG00000239745,RN7SL790P,misc_RNA,298
ENSG00000230665_THAP12P1,ENSG00000230665,THAP12P1,processed_pseudogene,2680
ENSG00000213695_RPS7P14,ENSG00000213695,RPS7P14,processed_pseudogene,583
ENSG00000147100_SLC16A2,ENSG00000147100,SLC16A2,protein_coding,112457
ENSG00000231206_HNRNPA1P25,ENSG00000231206,HNRNPA1P25,processed_pseudogene,937
ENSG00000230673_PABPC1P3,ENSG00000230673,PABPC1P3,processed_pseudogene,459
ENSG00000131263_RLIM,ENSG00000131263,RLIM,protein_coding,29401
ENSG00000199885_RNU6-330P,ENSG00000199885,RNU6-330P,snRNA,107
ENSG00000050030_NEXMIF,ENSG00000050030,NEXMIF,protein_coding,192630
ENSG00000271589_AL139395.1,ENSG00000271589,AL139395.1,processed_pseudogene,160
ENSG00000131269_ABCB7,ENSG00000131269,ABCB7,protein_coding,105179
ENSG00000229661_BUD31P2,ENSG00000229661,BUD31P2,processed_pseudogene,300
ENSG00000199601_RNU6-562P,ENSG00000199601,RNU6-562P,snRNA,107
ENSG00000094841_UPRT,ENSG00000094841,UPRT,protein_coding,30516
ENSG00000232186_AL137013.1,ENSG00000232186,AL137013.1,processed_pseudogene,1228
ENSG00000102383_ZDHHC15,ENSG00000102383,ZDHHC15,protein_coding,155076
ENSG00000233254_RPL21P134,ENSG00000233254,RPL21P134,processed_pseudogene,483
ENSG00000237089_PCNPP4,ENSG00000237089,PCNPP4,processed_pseudogene,1156
ENSG00000224775_BRAFP1,ENSG00000224775,BRAFP1,unprocessed_pseudogene,2831
ENSG00000215105_TTC3P1,ENSG00000215105,TTC3P1,processed_pseudogene,6081
ENSG00000186675_MAGEE2,ENSG00000186675,MAGEE2,protein_coding,2249
ENSG00000233063_SAR1AP4,ENSG00000233063,SAR1AP4,processed_pseudogene,591
ENSG00000226753_AL451105.1,ENSG00000226753,AL451105.1,processed_pseudogene,189
ENSG00000226854_AL451105.2,ENSG00000226854,AL451105.2,lincRNA,1754
ENSG00000232332_AC233982.1,ENSG00000232332,AC233982.1,processed_pseudogene,436
ENSG00000102390_PBDC1,ENSG00000102390,PBDC1,protein_coding,5269
ENSG00000237252_AC233981.1,ENSG00000237252,AC233981.1,processed_pseudogene,461
ENSG00000201826_RNU6-867P,ENSG00000201826,RNU6-867P,snRNA,107
ENSG00000274398_AC233981.2,ENSG00000274398,AC233981.2,processed_pseudogene,1614
ENSG00000213684_LDHBP2,ENSG00000213684,LDHBP2,processed_pseudogene,1005
ENSG00000198934_MAGEE1,ENSG00000198934,MAGEE1,protein_coding,3630
ENSG00000223259_RNA5SP508,ENSG00000223259,RNA5SP508,rRNA_pseudogene,119
ENSG00000235447_TRAPPC13P1,ENSG00000235447,TRAPPC13P1,processed_pseudogene,1062
ENSG00000280870_MIR325HG,ENSG00000280870,MIR325HG,lincRNA,356735
ENSG00000283242_MIR384,ENSG00000283242,MIR384,miRNA,88
ENSG00000207995_MIR325,ENSG00000207995,MIR325,miRNA,98
ENSG00000201447_RNA5SP509,ENSG00000201447,RNA5SP509,rRNA_pseudogene,119
ENSG00000234404_SPRYD7P1,ENSG00000234404,SPRYD7P1,processed_pseudogene,7108
ENSG00000196468_FGF16,ENSG00000196468,FGF16,protein_coding,9874
ENSG00000085224_ATRX,ENSG00000085224,ATRX,protein_coding,281356
ENSG00000237106_FABP5P15,ENSG00000237106,FABP5P15,processed_pseudogene,214
ENSG00000102158_MAGT1,ENSG00000102158,MAGT1,protein_coding,69230
ENSG00000200906_RNU6-854P,ENSG00000200906,RNU6-854P,snRNA,107
ENSG00000263410_RN7SL460P,ENSG00000263410,RN7SL460P,misc_RNA,258
ENSG00000131174_COX7B,ENSG00000131174,COX7B,protein_coding,7936
ENSG00000165240_ATP7A,ENSG00000165240,ATP7A,protein_coding,139740
ENSG00000102144_PGK1,ENSG00000102144,PGK1,protein_coding,218558
ENSG00000248503_AL356235.1,ENSG00000248503,AL356235.1,transcribed_processed_pseudogene,54150
ENSG00000226784_PGAM4,ENSG00000226784,PGAM4,protein_coding,765
ENSG00000187325_TAF9B,ENSG00000187325,TAF9B,protein_coding,9959
ENSG00000223592_FNDC3CP,ENSG00000223592,FNDC3CP,unitary_pseudogene,6727
ENSG00000173198_CYSLTR1,ENSG00000173198,CYSLTR1,protein_coding,56228
ENSG00000224755_HMGN1P34,ENSG00000224755,HMGN1P34,processed_pseudogene,594
ENSG00000235061_UBE2V1P7,ENSG00000235061,UBE2V1P7,processed_pseudogene,340
ENSG00000179300_RTL3,ENSG00000179300,RTL3,protein_coding,3260
ENSG00000271433_PPATP2,ENSG00000271433,PPATP2,processed_pseudogene,508
ENSG00000147145_LPAR4,ENSG00000147145,LPAR4,protein_coding,9386
ENSG00000227645_RPL7P54,ENSG00000227645,RPL7P54,processed_pseudogene,674
ENSG00000283622_MIR4328,ENSG00000283622,MIR4328,miRNA,56
ENSG00000078589_P2RY10,ENSG00000078589,P2RY10,protein_coding,16623
ENSG00000232168_P2RY10BP,ENSG00000232168,P2RY10BP,unitary_pseudogene,913
ENSG00000147138_GPR174,ENSG00000147138,GPR174,protein_coding,30653
ENSG00000271005_CTHRC1P1,ENSG00000271005,CTHRC1P1,processed_pseudogene,469
ENSG00000225025_KIF4CP,ENSG00000225025,KIF4CP,processed_pseudogene,1772
ENSG00000078596_ITM2A,ENSG00000078596,ITM2A,protein_coding,7284
ENSG00000270268_AL009028.1,ENSG00000270268,AL009028.1,processed_pseudogene,802
ENSG00000122145_TBX22,ENSG00000122145,TBX22,protein_coding,17014
ENSG00000278530_CHMP1B2P,ENSG00000278530,CHMP1B2P,transcribed_unitary_pseudogene,106876
ENSG00000174016_TENT5D,ENSG00000174016,TENT5D,protein_coding,109808
ENSG00000230247_HNRNPH3P1,ENSG00000230247,HNRNPH3P1,processed_pseudogene,991
ENSG00000228051_AL512504.2,ENSG00000228051,AL512504.2,processed_pseudogene,1909
ENSG00000228612_HK2P1,ENSG00000228612,HK2P1,processed_pseudogene,2737
ENSG00000165288_BRWD3,ENSG00000165288,BRWD3,protein_coding,138835
ENSG00000225715_AL512504.1,ENSG00000225715,AL512504.1,processed_pseudogene,778
ENSG00000239008_RF01225,ENSG00000239008,RF01225,snoRNA,127
ENSG00000212623_RNU6-493P,ENSG00000212623,RNU6-493P,snRNA,108
ENSG00000073905_VDAC1P1,ENSG00000073905,VDAC1P1,processed_pseudogene,848
ENSG00000212546_RNU6-995P,ENSG00000212546,RNU6-995P,snRNA,107
ENSG00000284618_AL391294.1,ENSG00000284618,AL391294.1,lincRNA,4068
ENSG00000198157_HMGN5,ENSG00000198157,HMGN5,protein_coding,88242
ENSG00000131171_SH3BGRL,ENSG00000131171,SH3BGRL,protein_coding,96605
ENSG00000231875_AL359885.1,ENSG00000231875,AL359885.1,processed_pseudogene,903
ENSG00000224523_AL445213.1,ENSG00000224523,AL445213.1,unprocessed_pseudogene,18339
ENSG00000233446_AL691517.1,ENSG00000233446,AL691517.1,processed_pseudogene,1235
ENSG00000206826_RNU6-974P,ENSG00000206826,RNU6-974P,snRNA,108
ENSG00000228041_AL031313.1,ENSG00000228041,AL031313.1,processed_pseudogene,256
ENSG00000213653_RPL22P22,ENSG00000213653,RPL22P22,processed_pseudogene,379
ENSG00000202183_RF00394,ENSG00000202183,RF00394,snoRNA,147
ENSG00000236365_AL008987.1,ENSG00000236365,AL008987.1,processed_pseudogene,237
ENSG00000232735_ATG4AP1,ENSG00000232735,ATG4AP1,processed_pseudogene,538
ENSG00000279437_Z82170.1,ENSG00000279437,Z82170.1,TEC,3192
ENSG00000196767_POU3F4,ENSG00000196767,POU3F4,protein_coding,3867
ENSG00000236870_AL121882.1,ENSG00000236870,AL121882.1,processed_pseudogene,417
ENSG00000215102_TERF1P4,ENSG00000215102,TERF1P4,processed_pseudogene,1115
ENSG00000183035_CYLC1,ENSG00000183035,CYLC1,protein_coding,25574
ENSG00000072133_RPS6KA6,ENSG00000072133,RPS6KA6,protein_coding,129562
ENSG00000221494_MIR548I4,ENSG00000221494,MIR548I4,miRNA,77
ENSG00000165259_HDX,ENSG00000165259,HDX,protein_coding,184606
ENSG00000233484_AL450471.1,ENSG00000233484,AL450471.1,transcribed_processed_pseudogene,127
ENSG00000237211_SETP4,ENSG00000237211,SETP4,processed_pseudogene,868
ENSG00000229547_UBE2DNL,ENSG00000229547,UBE2DNL,transcribed_processed_pseudogene,740
ENSG00000230781_Z83820.1,ENSG00000230781,Z83820.1,unitary_pseudogene,4613
ENSG00000155008_APOOL,ENSG00000155008,APOOL,protein_coding,89491
ENSG00000184788_SATL1,ENSG00000184788,SATL1,protein_coding,151675
ENSG00000283446_Z99571.1,ENSG00000283446,Z99571.1,unprocessed_pseudogene,13018
ENSG00000276391_AC003001.2,ENSG00000276391,AC003001.2,processed_pseudogene,3463
ENSG00000235461_AC003001.1,ENSG00000235461,AC003001.1,lincRNA,8993
ENSG00000147180_ZNF711,ENSG00000147180,ZNF711,protein_coding,29331
ENSG00000124429_POF1B,ENSG00000124429,POF1B,protein_coding,102348
ENSG00000283435_MIR1321,ENSG00000283435,MIR1321,miRNA,79
ENSG00000223707_SFR1P2,ENSG00000223707,SFR1P2,processed_pseudogene,730
ENSG00000276892_AL022401.1,ENSG00000276892,AL022401.1,processed_pseudogene,108
ENSG00000188419_CHM,ENSG00000188419,CHM,protein_coding,186383
ENSG00000199051_MIR361,ENSG00000199051,MIR361,miRNA,72
ENSG00000199567_RF00019,ENSG00000199567,RF00019,misc_RNA,108
ENSG00000234039_NDUFA5P7,ENSG00000234039,NDUFA5P7,processed_pseudogene,242
ENSG00000225536_STIP1P3,ENSG00000225536,STIP1P3,processed_pseudogene,1624
ENSG00000223574_TPMTP4,ENSG00000223574,TPMTP4,processed_pseudogene,678
ENSG00000126733_DACH2,ENSG00000126733,DACH2,protein_coding,684147
ENSG00000215093_EEF1A1P29,ENSG00000215093,EEF1A1P29,processed_pseudogene,1096
ENSG00000223772_GEMIN8P3,ENSG00000223772,GEMIN8P3,processed_pseudogene,720
ENSG00000277717_RF00026,ENSG00000277717,RF00026,snRNA,103
ENSG00000231478_FCF1P9,ENSG00000231478,FCF1P9,transcribed_processed_pseudogene,282
ENSG00000271290_AL390058.1,ENSG00000271290,AL390058.1,processed_pseudogene,629
ENSG00000236190_Z82210.1,ENSG00000236190,Z82210.1,processed_pseudogene,231
ENSG00000271457_AL590229.1,ENSG00000271457,AL590229.1,processed_pseudogene,895
ENSG00000200422_RF00279,ENSG00000200422,RF00279,snoRNA,72
ENSG00000230478_Z96811.1,ENSG00000230478,Z96811.1,processed_pseudogene,108
ENSG00000102271_KLHL4,ENSG00000102271,KLHL4,protein_coding,152302
ENSG00000237506_RPSAP15,ENSG00000237506,RPSAP15,processed_pseudogene,861
ENSG00000282914_Z83818.2,ENSG00000282914,Z83818.2,lincRNA,43305
ENSG00000271205_Z83818.1,ENSG00000271205,Z83818.1,processed_pseudogene,150
ENSG00000270446_AL136363.1,ENSG00000270446,AL136363.1,processed_pseudogene,337
ENSG00000271056_AL136363.2,ENSG00000271056,AL136363.2,processed_pseudogene,2335
ENSG00000230706_AL035246.1,ENSG00000230706,AL035246.1,processed_pseudogene,1255
ENSG00000230956_AL024493.1,ENSG00000230956,AL024493.1,processed_pseudogene,833
ENSG00000252016_RF01225,ENSG00000252016,RF01225,snoRNA,127
ENSG00000271693_AL929325.1,ENSG00000271693,AL929325.1,processed_pseudogene,117
ENSG00000147183_CPXCR1,ENSG00000147183,CPXCR1,protein_coding,7561
ENSG00000271157_AL022154.1,ENSG00000271157,AL022154.1,processed_pseudogene,2305
ENSG00000232576_AL645638.1,ENSG00000232576,AL645638.1,processed_pseudogene,361
ENSG00000270745_AL731768.1,ENSG00000270745,AL731768.1,processed_pseudogene,139
ENSG00000224065_SRIP2,ENSG00000224065,SRIP2,processed_pseudogene,166
ENSG00000225012_AL121872.1,ENSG00000225012,AL121872.1,lincRNA,23246
ENSG00000153779_TGIF2LX,ENSG00000153779,TGIF2LX,protein_coding,1002
ENSG00000227581_AL121877.1,ENSG00000227581,AL121877.1,processed_pseudogene,622
ENSG00000226081_USP12PX,ENSG00000226081,USP12PX,processed_pseudogene,1057
